Persona,n,aligned_count,mean_aligned,mean_generic,mean_difference,aligned_rate
NFJ,12,8,3.715277777666667,3.1458333333333335,0.5694444445833333,0.6666666666666666
NTP,12,9,4.586805555583333,3.663194444583333,0.9236111110833334,0.75
SFP,11,8,4.147727272636364,3.2424242424545455,0.9053030303636365,0.7272727272727273
STJ,22,17,4.522727272772728,3.384469697045455,1.1382575757727273,0.7727272727272727
