Scenario_ID,Group,n,Ease,Helpfulness,Trust,Contact_Likert,Style_Match,Contact_Binary_Rate,Overall_Score
S1_Suspicious_Email,Matched,44,4.75,4.7272727272727275,4.636363636363637,4.681818181818182,4.659090909090909,1.0,4.690909090909091
S1_Suspicious_Email,Missmatched,37,4.27027027027027,4.405405405405405,4.243243243243243,4.243243243243243,3.7837837837837838,0.8108108108108109,4.189189189189189
S2_Course_Schedule,Matched,44,4.113636363636363,4.045454545454546,4.136363636363637,4.0,3.727272727272727,0.6818181818181818,4.004545454545455
S2_Course_Schedule,Missmatched,37,4.081081081081081,3.972972972972973,4.1891891891891895,3.891891891891892,3.675675675675676,0.7567567567567568,3.962162162162162
S3_WiFi_Access,Matched,44,4.636363636363637,4.545454545454546,4.4772727272727275,4.409090909090909,4.363636363636363,0.9318181818181818,4.486363636363636
S3_WiFi_Access,Missmatched,37,3.864864864864865,3.4864864864864864,3.7567567567567566,3.4324324324324325,3.2432432432432434,0.6756756756756757,3.5567567567567564
S4_Thesis_Topic,Matched,44,4.4772727272727275,4.5,4.5227272727272725,4.454545454545454,4.386363636363637,0.9545454545454546,4.468181818181818
S4_Thesis_Topic,Missmatched,37,4.216216216216216,4.216216216216216,4.351351351351352,4.1891891891891895,3.864864864864865,0.8648648648648649,4.167567567567568
