Persona,Group,n,Mean_Ease,Mean_Helpfulness,Mean_Trust,Mean_Contact_Likert,Mean_Style_Match,Overall_Mean,Contact_Binary_Rate,Overall_Helpfulness_Global,Confidence_Global
NFJ,Matched,8,4.71875,4.75,4.65625,4.65625,4.46875,4.65,0.875,4.125,4.25
NFJ,Missmatched,4,4.1875,4.0625,4.3125,4.125,4.0625,4.15,0.8125,4.25,4.25
NTP,Matched,7,4.428571428571429,4.357142857142857,4.357142857142857,4.285714285714286,4.285714285714286,4.3428571428571425,0.9285714285714286,4.0,4.142857142857143
NTP,Missmatched,7,4.428571428571429,4.285714285714286,4.25,3.857142857142857,3.7142857142857144,4.107142857142857,0.7142857142857143,4.142857142857143,3.857142857142857
SFP,Matched,9,4.75,4.694444444444445,4.666666666666667,4.666666666666667,4.555555555555555,4.666666666666667,0.9444444444444444,4.333333333333333,4.555555555555555
SFP,Missmatched,13,3.8653846153846154,3.769230769230769,3.8846153846153846,3.769230769230769,3.4615384615384617,3.75,0.7692307692307693,3.8461538461538463,4.0
STJ,Matched,19,4.3355263157894735,4.282894736842105,4.302631578947368,4.217105263157895,4.105263157894737,4.248684210526315,0.868421052631579,4.2105263157894735,4.2105263157894735
STJ,Missmatched,13,4.153846153846154,4.115384615384615,4.269230769230769,4.096153846153846,3.6538461538461537,4.0576923076923075,0.8076923076923077,4.0,4.0
