,count,percent
q03_source_official_internal_collaboration_channels_email_slack_teams_etc,159,85.03
q03_source_internal_knowledge_base_system,58,31.02
q03_source_publicly_available_sources_on_the_internet,127,67.91
q03_source_public_social_networks,18,9.63
q03_source_other_publicly_available_knowledge_sources,64,34.22
q03_source_other,34,18.18
