,count,mean,std,min,25%,50%,75%,max
exploratory_hidden_knowledge_awareness_composite,187.0,0.724,0.155,0.15,0.692,0.767,0.85,1.0
exploratory_knowledge_sharing_willingness_composite,187.0,0.846,0.147,0.223,0.777,0.89,1.0,1.0
exploratory_personality_process_acceptance_composite,187.0,0.798,0.204,0.0,0.667,0.833,1.0,1.0
exploratory_ai_readiness_composite,187.0,0.582,0.244,0.125,0.375,0.5,0.75,1.0
exploratory_privacy_sensitivity_composite,187.0,0.444,0.267,0.0,0.25,0.5,0.625,1.0
