variable,category,count,percent
q10_fear_of_sharing,Mostly No,78,41.71
q10_fear_of_sharing,No,62,33.16
q10_fear_of_sharing,Mostly Yes,37,19.79
q10_fear_of_sharing,Yes,10,5.35
