variable,category,count,percent
q09_hidden_knowledge_value,Large,82,43.85
q09_hidden_knowledge_value,Medium,59,31.55
q09_hidden_knowledge_value,Very large,32,17.11
q09_hidden_knowledge_value,Low,9,4.81
q09_hidden_knowledge_value,Very low,4,2.14
q09_hidden_knowledge_value,Missing,1,0.53
