variable,category,count,percent
q23_age_group,40-50,81,43.32
q23_age_group,30-40,62,33.16
q23_age_group,20-30,23,12.3
q23_age_group,50-60,15,8.02
q23_age_group,More than 60,4,2.14
q23_age_group,Prefer not to say,2,1.07
