variable,category,count,percent
q20_ai_public_profile_analysis,No,109,58.29
q20_ai_public_profile_analysis,Yes,36,19.25
q20_ai_public_profile_analysis,With certain conditions Yes,28,14.97
q20_ai_public_profile_analysis,Up to a certain level Yes,14,7.49
